"MoteGen","emmean","SE","df","lower.CL","upper.CL",".group"
"G_48",3.12658214285714,0.161926677853457,112,2.80574518728175,3.44741909843254," 1 "
"G_62",3.16651034482759,0.159110346877232,112,2.85125358806985,3.48176710158533," 1 "
"G_07",3.92435384615385,0.168039255031308,112,3.591405602442,4.25730208986569,"  2"
"G_08",4.07108333333333,0.349801603774292,112,3.37799629481642,4.76417037185024," 12"
"G_50",4.23433846153846,0.237643393476347,112,3.76347853971287,4.70519838336406,"  2"
"G_31",4.29446875000001,0.214208860113559,112,3.87004135207422,4.71889614792579,"  2"
