"Sample.Name","File.Name","A.CT.mean","Acer.CT.mean","A.CT.sd","Acer.CT.sd","A.reps","Acer.reps","A.Acer","Sample.Plate","Treatment","Replicate","Fragment","Genotype","Date","Days","qPCR_Date","Sample","logA.SH","RanA","RanB"
"Sample 5","Plate15.csv",23.734,23.8855,0.240416305603426,0.0926309883354379,2,2,0.298136035964386,"Sample 5_Plate15.csv","Control","R2",186,"Green",2018-01-29,75,2018-02-09,"186_2018-01-29",-0.525585527239369,1,1
"Sample 6","Plate15.csv",24.0425,23.7395,0.0982878425849296,0.30900566337852,2,2,0.217568661398763,"Sample 6_Plate15.csv","Control","R2",277,"Green",2018-01-29,75,2018-02-09,"277_2018-01-29",-0.662403660268648,1,1
"Sample 7","Plate15.csv",23.325,23.7595,0.220617315730204,0.260922402257836,2,2,0.362748780872398,"Sample 7_Plate15.csv","Control","R2",284,"Green",2018-01-29,75,2018-02-09,"284_2018-01-29",-0.440394038466463,1,1
"Sample 8","Plate15.csv",34.539,26.699,0.340825468531915,0.610940258945178,2,2,0.00117147564061744,"Sample 8_Plate15.csv","Control","R2",290,"Green",2018-01-29,75,2018-02-09,"290_2018-01-29",-2.93126673758808,1,1
"Sample 9","Plate15.csv",23.8895,24.2935,0.0261629509039041,0.181726442764944,2,2,0.355160408361289,"Sample 9_Plate15.csv","Control","R2",119,"Green and Orange",2018-01-29,75,2018-02-09,"119_2018-01-29",-0.449575453334213,1,1
"Sample 1","Plate16.csv",27.6915,24.621,0.280721392131061,0.166877200360026,2,2,0.0319518366116211,"Sample 1_Plate16.csv","N","R2",242,"F",2018-01-29,75,2018-02-09,"242_2018-01-29",-1.49550417326872,1,1
"Sample 10","Plate16.csv",23.4005,24.1465,0.0120208152801709,0.157684812204599,2,2,0.450170264928793,"Sample 10_Plate16.csv","N","R2",230,"Green and Orange",2018-01-29,75,2018-02-09,"230_2018-01-29",-0.346623194817133,1,1
"Sample 11","Plate16.csv",24.899,24.2725,0.0523259018078057,0.51406662992262,2,2,0.173865388829147,"Sample 11_Plate16.csv","N","R2",154,"Orange",2018-01-29,75,2018-02-09,"154_2018-01-29",-0.759786863865946,1,1
"Sample 12","Plate16.csv",25.502,24.3095,0.131521861300698,0.393858477120908,2,2,0.117443817252945,"Sample 12_Plate16.csv","N","R2",246,"Orange",2018-01-29,75,2018-02-09,"246_2018-01-29",-0.930169841411759,1,1
"Sample 13","Plate16.csv",25.0975,24.8085,0.0162634559672929,0.0289913780286487,2,2,0.219690238163775,"Sample 13_Plate16.csv","N","R2",299,"Orange",2018-01-29,75,2018-02-09,"299_2018-01-29",-0.658189240329352,1,1
"Sample 14","Plate16.csv",27.491,22.705,0.418607214462435,0.271529003975632,2,2,0.00972923893607639,"Sample 14_Plate16.csv","N","R2",174,"Red and Orange",2018-01-29,75,2018-02-09,"174_2018-01-29",-2.01192113083028,1,1
"Sample 16","Plate16.csv",26.0175,24.529,0.0289913780286487,0.0353553390593254,2,2,0.0956588773883597,"Sample 16_Plate16.csv","N","R2",271,"Red and Orange",2018-01-29,75,2018-02-09,"271_2018-01-29",-1.0192747201283,1,1
"Sample 17","Plate16.csv",24.4425,22.8495,0.118086832458152,0.125157900270019,2,2,0.0889749280178542,"Sample 17_Plate16.csv","N","R2",232,"Yellow",2018-01-29,75,2018-02-09,"232_2018-01-29",-1.05073235467519,1,1
"Sample 18","Plate16.csv",25.457,22.7305,0.087681240867131,0.154856385079855,2,2,0.0405555359659922,"Sample 18_Plate16.csv","N","R2",234,"Yellow",2018-01-29,75,2018-02-09,"234_2018-01-29",-1.39194985476031,1,1
"Sample 19","Plate16.csv",25.7365,24.5345,0.0813172798364544,0.0558614357137377,2,2,0.116673002324505,"Sample 19_Plate16.csv","NP","R2",140,"F",2018-01-29,75,2018-02-09,"140_2018-01-29",-0.933029626370567,1,1
"Sample 2","Plate16.csv",22.9995,23.1475,0.0714177848998407,0.289206673505297,2,2,0.297413630067885,"Sample 2_Plate16.csv","N","R2",180,"Green",2018-01-29,75,2018-02-09,"180_2018-01-29",-0.526639132224193,1,1
"Sample 20","Plate16.csv",23.3885,23.8775,0.103944696834421,0.106773123959169,2,2,0.376714291368148,"Sample 20_Plate16.csv","NP","R2",181,"Green",2018-01-29,75,2018-02-09,"181_2018-01-29",-0.423987903702776,1,1
"Sample 21","Plate16.csv",23.104,23.7155,0.0240416305603419,0.13081475451951,2,2,0.410098584963427,"Sample 21_Plate16.csv","NP","R2",188,"Green",2018-01-29,75,2018-02-09,"188_2018-01-29",-0.387111729233938,1,1
"Sample 22","Plate16.csv",23.634,24.57,0.26870057685089,0.407293505963452,2,2,0.513537904193643,"Sample 22_Plate16.csv","NP","R2",280,"Green",2018-01-29,75,2018-02-09,"280_2018-01-29",-0.289427495640976,1,1
"Sample 3","Plate16.csv",24.3575,24.9395,0.00636396103067666,0.310419876940894,2,2,0.401798106609381,"Sample 3_Plate16.csv","N","R2",187,"Green",2018-01-29,75,2018-02-09,"187_2018-01-29",-0.395992114106026,1,1
"Sample 4","Plate16.csv",22.838,23.3175,0.0226274169979695,0.523966124859231,2,2,0.374241815538128,"Sample 4_Plate16.csv","N","R2",278,"Green",2018-01-29,75,2018-02-09,"278_2018-01-29",-0.426847688661584,1,1
"Sample 5","Plate16.csv",23.363,22.888,0.0876812408671335,0.00141421356237231,2,2,0.19311641049209,"Sample 5_Plate16.csv","N","R2",285,"Green",2018-01-29,75,2018-02-09,"285_2018-01-29",-0.714180819522854,1,1
"Sample 6","Plate16.csv",22.707,23.143,0.0339411254969556,0.0763675323681475,2,2,0.363126134451652,"Sample 6_Plate16.csv","N","R2",120,"Green and Orange",2018-01-29,75,2018-02-09,"120_2018-01-29",-0.439942493472966,1,1
"Sample 7","Plate16.csv",23.488,23.858,0.0749533188057752,0.239002092041054,2,2,0.346888199996178,"Sample 7_Plate16.csv","N","R2",126,"Green and Orange",2018-01-29,75,2018-02-09,"126_2018-01-29",-0.459810473186789,1,1
"Sample 8","Plate16.csv",22.753,23.7195,0.00848528137423889,0.0883883476483184,2,2,0.5245101770705,"Sample 8_Plate16.csv","N","R2",218,"Green and Orange",2018-01-29,75,2018-02-09,"218_2018-01-29",-0.280246080773224,1,1
"Sample 9","Plate16.csv",22.6895,23.669,0.0261629509039016,0.34648232278141,2,2,0.529257851141152,"Sample 9_Plate16.csv","N","R2",224,"Green and Orange",2018-01-29,75,2018-02-09,"224_2018-01-29",-0.276332690829592,1,1
"Sample 1","Plate17.csv",23.4065,23.7545,0.102530483272049,0.139300035893752,2,2,0.341638547612676,"Sample 1_Plate17.csv","NP","R2",286,"Green",2018-01-29,75,2018-02-09,"286_2018-01-29",-0.466433133091397,1,1
"Sample 10","Plate17.csv",25.6995,22.978,0.0120208152801709,0.104651803615609,2,2,0.0406963345875343,"Sample 10_Plate17.csv","NP","R2",175,"Red and Orange",2018-01-29,75,2018-02-09,"175_2018-01-29",-1.39044470478199,1,1
"Sample 11","Plate17.csv",26.402,23.1325,0.0240416305603419,0.212839141137152,2,2,0.0278349764108581,"Sample 11_Plate17.csv","NP","R2",266,"Red and Orange",2018-01-29,75,2018-02-09,"266_2018-01-29",-1.55540914240585,1,1
"Sample 12","Plate17.csv",25.023,24.009,0.0240416305603419,0.233345237791559,2,2,0.132911944818673,"Sample 12_Plate17.csv","NP","R2",272,"Red and Orange",2018-01-29,75,2018-02-09,"272_2018-01-29",-0.876435987185739,1,1
"Sample 13","Plate17.csv",25.6565,23.0545,0.260922402257836,0.177483802077824,2,2,0.0442108006219394,"Sample 13_Plate17.csv","NP","R2",104,"Red and Yellow",2018-01-29,75,2018-02-09,"104_2018-01-29",-1.35447162030014,1,1
"Sample 14","Plate17.csv",25.087,22.151,0.120208152801714,0.469518902707869,2,2,0.0350739243679606,"Sample 14_Plate17.csv","NP","R2",110,"Red and Yellow",2018-01-29,75,2018-02-09,"110_2018-01-29",-1.45501563885191,1,1
"Sample 15","Plate17.csv",23.8965,23.036,0.0445477272147542,0.117379725676967,2,2,0.147833247450938,"Sample 15_Plate17.csv","NP","R2",233,"Yellow",2018-01-29,75,2018-02-09,"233_2018-01-29",-0.830227882851318,1,1
"Sample 16","Plate17.csv",25.192,24.4185,0.0395979797464448,0.000707106781187412,2,2,0.157022441849457,"Sample 16_Plate17.csv","NP","R2",235,"Yellow",2018-01-29,75,2018-02-09,"235_2018-01-29",-0.804038273228551,1,1
"Sample 2","Plate17.csv",22.9585,23.3915,0.133643181644258,0.120915259582899,2,2,0.362371819431608,"Sample 2_Plate17.csv","NP","R2",121,"Green and Orange",2018-01-29,75,2018-02-09,"121_2018-01-29",-0.440845583459958,1,1
"Sample 3","Plate17.csv",23.7185,23.7725,0.11242997820866,0.05727564927611,2,2,0.278653208602784,"Sample 3_Plate17.csv","NP","R2",128,"Green and Orange",2018-01-29,75,2018-02-09,"128_2018-01-29",-0.554935951816607,1,1
"Sample 4","Plate17.csv",22.8205,22.893,0.0586898628384823,0.203646752981726,2,2,0.282249449210364,"Sample 4_Plate17.csv","NP","R2",219,"Green and Orange",2018-01-29,75,2018-02-09,"219_2018-01-29",-0.549366896896823,1,1
"Sample 5","Plate17.csv",23.028,23.9895,0.0353553390593279,0.444770165366337,2,2,0.522695509713728,"Sample 5_Plate17.csv","NP","R2",225,"Green and Orange",2018-01-29,75,2018-02-09,"225_2018-01-29",-0.281751230751544,1,1
"Sample 6","Plate17.csv",24.09,23.4535,0.285671139599365,0.0487903679018711,2,2,0.172664412862467,"Sample 6_Plate17.csv","NP","R2",229,"Green and Orange",2018-01-29,75,2018-02-09,"229_2018-01-29",-0.762797163822588,1,1
"Sample 7","Plate17.csv",23.7445,22.85,0.0403050865276322,0.0636396103067892,2,2,0.144389993649514,"Sample 7_Plate17.csv","NP","R2",155,"Orange",2018-01-29,75,2018-02-09,"155_2018-01-29",-0.840462902703894,1,1
"Sample 8","Plate17.csv",23.9265,22.977,0.0601040764008571,0.0466690475583139,2,2,0.138989005526519,"Sample 8_Plate17.csv","NP","R2",247,"Orange",2018-01-29,75,2018-02-09,"247_2018-01-29",-0.857019552465412,1,1
"Sample 9","Plate17.csv",24.6625,23.9395,0.0403050865276322,0.068589357775096,2,2,0.162616175009225,"Sample 9_Plate17.csv","NP","R2",168,"Red and Orange",2018-01-29,75,2018-02-09,"168_2018-01-29",-0.788836258447521,1,1
"Sample 1","Plate18.csv",25.352,24.013,0.0721248916810281,0.00848528137423638,2,2,0.106103391076271,"Sample 1_Plate18.csv","Control","R1",291,"F",2018-02-23,100,2018-03-12,"291_2018-02-23",-0.974270735776533,1,1
"Sample 10","Plate18.csv",25.806,23.1025,0.182433549546129,0.144956890143241,2,2,0.041207269228152,"Sample 10_Plate18.csv","Control","R1",157,"Orange",2018-02-23,100,2018-03-12,"157_2018-02-23",-1.38502616486003,1,1
"Sample 11","Plate18.csv",25.42,23.857,0.189504617357993,0.0763675323681475,2,2,0.0908444803901539,"Sample 11_Plate18.csv","Control","R1",248,"Orange",2018-02-23,100,2018-03-12,"248_2018-02-23",-1.04170145480527,1,1
"Sample 12","Plate18.csv",25.3775,22.7455,0.453255446740578,0.106773123959169,2,2,0.0433009555016963,"Sample 12_Plate18.csv","Control","R1",162,"Red and Orange",2018-02-23,100,2018-03-12,"162_2018-02-23",-1.36350252017006,1,1
"Sample 13","Plate18.csv",24.363,21.9095,0.0650538238691615,0.103944696834424,2,2,0.0490039777559511,"Sample 13_Plate18.csv","Control","R1",169,"Red and Orange",2018-02-23,100,2018-03-12,"169_2018-02-23",-1.30976866594404,1,1
"Sample 14","Plate18.csv",24.8775,24.1315,0.207182286887658,0.0346482322781405,2,2,0.160044241168331,"Sample 14_Plate18.csv","Control","R1",261,"Red and Orange",2018-02-23,100,2018-03-12,"261_2018-02-23",-0.795759948347793,1,1
"Sample 16","Plate18.csv",25.0755,24.5005,0.28496403281818,0.0247487373415293,2,2,0.180183982196286,"Sample 16_Plate18.csv","Control","R1",105,"Red and Yellow",2018-02-23,100,2018-03-12,"105_2018-02-23",-0.74428381908925,1,1
"Sample 17","Plate18.csv",25.8055,24.113,0.226981276760883,0.0353553390593279,2,2,0.0830453195879906,"Sample 17_Plate18.csv","Control","R1",204,"Red and Yellow",2018-02-23,100,2018-03-12,"204_2018-02-23",-1.08068483924375,1,1
"Sample 18","Plate18.csv",24.955,24.1865,0.0410121933088222,0.0912167747730656,2,2,0.157567584277907,"Sample 18_Plate18.csv","Control","R1",143,"Yellow",2018-02-23,100,2018-03-12,"143_2018-02-23",-0.80253312325023,1,1
"Sample 19","Plate18.csv",25.4205,24.524,0.129400540957138,0.0961665222413699,2,2,0.144189965296639,"Sample 19_Plate18.csv","N","R1",177,"Green",2018-02-23,100,2018-03-12,"177_2018-02-23",-0.841064962695221,1,1
"Sample 2","Plate18.csv",25.5655,25.0885,0.317490944752758,0.14919953083036,2,2,0.192848879782188,"Sample 2_Plate18.csv","Control","R1",176,"Green",2018-02-23,100,2018-03-12,"176_2018-02-23",-0.714782879514181,1,1
"Sample 20","Plate18.csv",25.095,24.3875,0.192333044482742,0.0926309883354379,2,2,0.164372706628767,"Sample 20_Plate18.csv","N","R1",190,"Green",2018-02-23,100,2018-03-12,"190_2018-02-23",-0.784170293514729,1,1
"Sample 21","Plate18.csv",25.804,24.622,0.0919238815542505,0.220617315730201,2,2,0.118301696742496,"Sample 21_Plate18.csv","N","R1",282,"Green",2018-02-23,100,2018-03-12,"282_2018-02-23",-0.927009026457289,1,1
"Sample 22","Plate18.csv",25.1925,23.853,0.0544472221513654,0.0353553390593279,2,2,0.10606662481456,"Sample 22_Plate18.csv","N","R1",288,"Green",2018-02-23,100,2018-03-12,"288_2018-02-23",-0.974421250774365,1,1
"Sample 3","Plate18.csv",25.7555,25.128,0.24819448019648,0.162634559672904,2,2,0.17374491628251,"Sample 3_Plate18.csv","Control","R1",182,"Green",2018-02-23,100,2018-03-12,"182_2018-02-23",-0.76008789386161,1,1
"Sample 4","Plate18.csv",25.022,24.5915,0.0282842712474638,0.0982878425849322,2,2,0.199165914742997,"Sample 4_Plate18.csv","Control","R1",281,"Green",2018-02-23,100,2018-03-12,"281_2018-02-23",-0.700784984715806,1,1
"Sample 5","Plate18.csv",26.192,25.8195,0.101823376490862,0.24960869375885,2,2,0.207336018769972,"Sample 5_Plate18.csv","Control","R1",287,"Green",2018-02-23,100,2018-03-12,"287_2018-02-23",-0.683325244967296,1,1
"Sample 6","Plate18.csv",24.68,24.315,0.0226274169979695,0.253144227664784,2,2,0.208416683135443,"Sample 6_Plate18.csv","Control","R1",116,"Green and Orange",2018-02-23,100,2018-03-12,"116_2018-02-23",-0.681067519999816,1,1
"Sample 7","Plate18.csv",25.4265,24.313,0.168998520703585,0.0325269119345807,2,2,0.124054215950736,"Sample 7_Plate18.csv","Control","R1",122,"Green and Orange",2018-02-23,100,2018-03-12,"122_2018-02-23",-0.906388471754305,1,1
"Sample 8","Plate18.csv",25.341,24.746,0.168291413922398,0.181019335983756,2,2,0.177703336067825,"Sample 8_Plate18.csv","Control","R1",220,"Green and Orange",2018-02-23,100,2018-03-12,"220_2018-02-23",-0.750304419002532,1,1
"Sample 9","Plate18.csv",25.439,25.017,0.0834386001800141,0.0509116882454308,2,2,0.200342814322483,"Sample 9_Plate18.csv","Control","R1",226,"Green and Orange",2018-02-23,100,2018-03-12,"226_2018-02-23",-0.698226229752661,1,1
"Sample 1","Plate19.csv",24.4895,24.4835,0.327390439689372,0.583363094478901,2,2,0.267302024747508,"Sample 1_Plate19.csv","N","R1",117,"Green and Orange",2018-02-23,100,2018-03-12,"117_2018-02-23",-0.572997751556446,1,1
"Sample 10","Plate19.csv",26.12,23.774,0.0127279220613583,0.127279220613578,2,2,0.0527949105738145,"Sample 10_Plate19.csv","NP","R1",124,"Green and Orange",2018-02-23,100,2018-03-12,"124_2018-02-23",-1.27740794141016,1,1
"Sample 11","Plate19.csv",25.19,23.821,0.0551543289325503,0.0452548339959391,2,2,0.103919814862903,"Sample 11_Plate19.csv","NP","R1",222,"Green and Orange",2018-02-23,100,2018-03-12,"222_2018-02-23",-0.983301635646451,1,1
"Sample 12","Plate19.csv",25.971,24.0785,0.0593969696196722,0.0233345237791544,2,2,0.0722951497464319,"Sample 12_Plate19.csv","NP","R1",228,"Green and Orange",2018-02-23,100,2018-03-12,"228_2018-02-23",-1.14089083837655,1,1
"Sample 13","Plate19.csv",26.5085,22.839,0.0318198051533933,0.0947523086789976,2,2,0.0210949674371819,"Sample 13_Plate19.csv","NP","R1",250,"Orange",2018-02-23,100,2018-03-12,"250_2018-02-23",-1.67582114067144,1,1
"Sample 14","Plate19.csv",26.4175,22.0625,0.108187337521541,0.0883883476483184,2,2,0.013116645987978,"Sample 14_Plate19.csv","Control","R2",139,"F",2018-02-23,100,2018-03-12,"139_2018-02-23",-1.8821772026991,1,1
"Sample 15","Plate19.csv",26.739,23.718,0.0226274169979695,0.0226274169979695,2,2,0.0330671535080793,"Sample 15_Plate19.csv","Control","R2",192,"F",2018-02-23,100,2018-03-12,"192_2018-02-23",-1.48060318848335,1,1
"Sample 16","Plate19.csv",25.221,24.177,0.124450793488834,0.451134126397016,2,2,0.130176656547162,"Sample 16_Plate19.csv","Control","R2",179,"Green",2018-02-23,100,2018-03-12,"179_2018-02-23",-0.885466887055659,1,1
"Sample 17","Plate19.csv",24.8865,23.825,0.0502045814642459,0.0749533188057752,2,2,0.128607142262266,"Sample 17_Plate19.csv","Control","R2",186,"Green",2018-02-23,100,2018-03-12,"186_2018-02-23",-0.890734911979778,1,1
"Sample 18","Plate19.csv",24.866,23.964,0.110308657865101,0.296984848098349,2,2,0.143641314999992,"Sample 18_Plate19.csv","Control","R2",277,"Green",2018-02-23,100,2018-03-12,"277_2018-02-23",-0.842720627671373,1,1
"Sample 19","Plate19.csv",25.132,23.916,0.107480230740353,0.015556349186103,2,2,0.115546276199099,"Sample 19_Plate19.csv","Control","R2",284,"Green",2018-02-23,100,2018-03-12,"284_2018-02-23",-0.937244046309863,1,1
"Sample 2","Plate19.csv",24.8215,24.6185,0.210010714012405,0.184554869889688,2,2,0.233184317566738,"Sample 2_Plate19.csv","N","R1",123,"Green and Orange",2018-02-23,100,2018-03-12,"123_2018-02-23",-0.632300660702251,1,1
"Sample 20","Plate19.csv",24.8835,24.239,0.265165042944955,0.0622253967444169,2,2,0.1717096077832,"Sample 20_Plate19.csv","Control","R2",119,"Green and Orange",2018-02-23,100,2018-03-12,"119_2018-02-23",-0.765205403787898,1,1
"Sample 21","Plate19.csv",25.118,23.8735,0.125865007051206,0.0247487373415268,2,2,0.113286092912821,"Sample 21_Plate19.csv","Control","R2",125,"Green and Orange",2018-02-23,100,2018-03-12,"125_2018-02-23",-0.945823401186287,1,1
"Sample 22","Plate19.csv",24.703,24.688,0.185261976670876,0.267286363288515,2,2,0.265639698400911,"Sample 22_Plate19.csv","Control","R1",273,"Red and Orange",2018-02-23,100,2018-03-12,"273_2018-02-23",-0.575707021517422,2,1
"Sample 3","Plate19.csv",25.7025,25.081,0.0827314933988267,0.0353553390593279,2,2,0.174469005733669,"Sample 3_Plate19.csv","N","R1",130,"Green and Orange",2018-02-23,100,2018-03-12,"130_2018-02-23",-0.758281713887626,1,1
"Sample 4","Plate19.csv",24.769,23.895,0.212132034355965,0.304055915910215,2,2,0.146456351956806,"Sample 4_Plate19.csv","N","R1",221,"Green and Orange",2018-02-23,100,2018-03-12,"221_2018-02-23",-0.834291787792781,1,1
"Sample 5","Plate19.csv",25.0865,22.378,0.0827314933988267,0.115965512114595,2,2,0.0410647029070413,"Sample 5_Plate19.csv","NP","R1",178,"Green",2018-02-23,100,2018-03-12,"178_2018-02-23",-1.38653131483836,1,1
"Sample 7","Plate19.csv",24.543,22.7805,0.181019335983756,0.0756604255869601,2,2,0.0791121269992225,"Sample 7_Plate19.csv","NP","R1",276,"Green",2018-02-23,100,2018-03-12,"276_2018-02-23",-1.10175693894023,1,1
"Sample 8","Plate19.csv",24.9725,23.505,0.00494974746830435,0.0240416305603419,2,2,0.0970614801339411,"Sample 8_Plate19.csv","NP","R1",289,"Green",2018-02-23,100,2018-03-12,"289_2018-02-23",-1.01295309021935,1,1
"Sample 9","Plate19.csv",24.856,24.1275,0.128693434175951,0.0205060966544098,2,2,0.16199741202891,"Sample 9_Plate19.csv","NP","R1",118,"Green and Orange",2018-02-23,100,2018-03-12,"118_2018-02-23",-0.790491923423674,1,1
"Sample 10","Plate20.csv",25.0045,24.0295,0.0388908729652599,0.266579256507328,2,2,0.136553923417362,"Sample 10_Plate20.csv","N","R2",278,"Green",2018-02-23,100,2018-03-13,"278_2018-02-23",-0.864695817354844,1,1
"Sample 11","Plate20.csv",26.156,24.37,0.104651803615609,0.15556349186104,2,2,0.0778339114886113,"Sample 11_Plate20.csv","N","R2",285,"Green",2018-02-23,100,2018-03-13,"285_2018-02-23",-1.10883114383833,1,1
"Sample 12","Plate20.csv",26.4945,24.653,0.297691954879536,0.147078210486803,2,2,0.074896529026294,"Sample 12_Plate20.csv","N","R2",126,"Green and Orange",2018-02-23,100,2018-03-13,"126_2018-02-23",-1.12553830859768,1,1
"Sample 13","Plate20.csv",25.567,24.1875,0.00848528137423889,0.210010714012403,2,2,0.103166227381205,"Sample 13_Plate20.csv","N","R2",224,"Green and Orange",2018-02-23,100,2018-03-13,"224_2018-02-23",-0.986462450600924,1,1
"Sample 14","Plate20.csv",26.1965,24.816,0.560735677480932,0.278600071787501,2,2,0.103094742779104,"Sample 14_Plate20.csv","N","R2",230,"Green and Orange",2018-02-23,100,2018-03-13,"230_2018-02-23",-0.986763480596588,1,1
"Sample 15","Plate20.csv",24.7425,24.1785,0.3047630226914,0.382544768621922,2,2,0.181563067225826,"Sample 15_Plate20.csv","NP","R2",188,"Green",2018-02-23,100,2018-03-13,"188_2018-02-23",-0.740972489136948,1,1
"Sample 16","Plate20.csv",24.964,23.6715,0.134350288425445,0.0912167747730656,2,2,0.109578956149017,"Sample 16_Plate20.csv","NP","R2",280,"Green",2018-02-23,100,2018-03-13,"280_2018-02-23",-0.960272840978157,1,1
"Sample 17","Plate20.csv",25.767,23.635,0.0183847763108501,0.0226274169979695,2,2,0.0612367985342126,"Sample 17_Plate20.csv","NP","R2",286,"Green",2018-02-23,100,2018-03-13,"286_2018-02-23",-1.21298752233807,1,1
"Sample 18","Plate20.csv",25.661,23.4495,0.117379725676967,0.00636396103067917,2,2,0.057953623229462,"Sample 18_Plate20.csv","NP","R2",128,"Green and Orange",2018-02-23,100,2018-03-13,"128_2018-02-23",-1.23691940699336,1,1
"Sample 19","Plate20.csv",26.0425,23.089,0.118086832458155,0.185261976670876,2,2,0.0346510449763476,"Sample 19_Plate20.csv","NP","R2",225,"Green and Orange",2018-02-23,100,2018-03-13,"225_2018-02-23",-1.46028366377603,1,1
"Sample 20","Plate20.csv",26.7125,25.1325,0.201525432638166,0.235466558135119,2,2,0.0897802964876291,"Sample 20_Plate20.csv","NP","R2",229,"Green and Orange",2018-02-23,100,2018-03-13,"229_2018-02-23",-1.04681896473155,1,1
"Sample 21","Plate20.csv",27.2795,24.16,0.0417193000900071,0.301227488785471,2,2,0.0308848400812167,"Sample 21_Plate20.csv","NP","R2",155,"Orange",2018-02-23,100,2018-03-13,"155_2018-02-23",-1.51025464305625,1,1
"Sample 22","Plate20.csv",24.6325,24.4475,0.208596500450033,0.122329473145271,2,2,0.236111901750945,"Sample 22_Plate20.csv","Control","R2",217,"Green and Orange",2018-02-23,100,2018-03-12,"217_2018-02-23",-0.626882120780299,1,1
"Sample 3","Plate20.csv",24.9575,23.7765,0.42214274836837,0.267993470069702,2,2,0.118383725655819,"Sample 3_Plate20.csv","Control","R2",166,"Red and Orange",2018-02-23,100,2018-03-13,"166_2018-02-23",-0.926707996461624,1,1
"Sample 4","Plate20.csv",24.986,24.2125,0.195161471607487,0.187383297014435,2,2,0.157022441849457,"Sample 4_Plate20.csv","Control","R2",173,"Red and Orange",2018-02-23,100,2018-03-13,"173_2018-02-23",-0.804038273228551,1,1
"Sample 5","Plate20.csv",24.9465,24.933,0.0134350288425432,0.11455129855222,2,2,0.26591603314349,"Sample 5_Plate20.csv","Control","R2",264,"Red and Orange",2018-02-23,100,2018-03-13,"264_2018-02-23",-0.575255476523926,1,1
"Sample 6","Plate20.csv",25.772,24.889,0.080610173055267,0.261629509039023,2,2,0.145545553571668,"Sample 6_Plate20.csv","Control","R2",102,"Red and Yellow",2018-02-23,100,2018-03-13,"102_2018-02-23",-0.837001057753756,1,1
"Sample 7","Plate20.csv",25.207,23.7895,0.352139177030901,0.0502045814642434,2,2,0.100484345838796,"Sample 7_Plate20.csv","Control","R2",108,"Red and Yellow",2018-02-23,100,2018-03-13,"108_2018-02-23",-0.997901590436156,1,1
"Sample 8","Plate20.csv",25.2155,24.323,0.437699097554473,0.0975807358037422,2,2,0.144590299492864,"Sample 8_Plate20.csv","Control","R2",231,"Yellow",2018-02-23,100,2018-03-13,"231_2018-02-23",-0.839860842712565,1,1
"Sample 9","Plate20.csv",27.073,25.7075,0.141421356237309,0.357088924499208,2,2,0.104172231966326,"Sample 9_Plate20.csv","N","R2",187,"Green",2018-02-23,100,2018-03-13,"187_2018-02-23",-0.982248030661629,1,1
"Sample 11","Plate21.csv",22.7345,21.8745,0.170412734265958,0.0502045814642459,2,2,0.147884491429661,"Sample 11_Plate21.csv","NP","R1",283,"Green",2018-02-05,82,2018-03-13,"283_2018-02-05",-0.830077367853487,1,1
"Sample 13","Plate21.csv",22.7345,21.657,0.0869741340859461,0.101823376490862,2,2,0.127188723336246,"Sample 13_Plate21.csv","NP","R1",159,"Orange",2018-02-05,82,2018-03-13,"159_2018-02-05",-0.895551391910401,1,1
"Sample 14","Plate21.csv",22.4025,23.8095,0.201525432638166,0.00353553390593455,2,2,0.711799424142834,"Sample 14_Plate21.csv","NP","R1",269,"Red and Orange",2018-02-05,82,2018-03-13,"269_2018-02-05",-0.147642367683242,1,1
"Sample 16","Plate21.csv",23.2805,24.736,0.119501046020524,0.0339411254969556,2,2,0.736135203538197,"Sample 16_Plate21.csv","Control","R2",290,"Green",2018-02-05,82,2018-03-13,"290_2018-02-05",-0.133042412893537,1,1
"Sample 17","Plate21.csv",23.2055,23.731,0.159099025766974,0.0353553390593279,2,2,0.386366702278154,"Sample 17_Plate21.csv","Control","R2",223,"Green and Orange",2018-02-05,82,2018-03-13,"223_2018-02-05",-0.41300030886104,1,1
"Sample 18","Plate21.csv",22.906,21.1415,0.0226274169979695,0.030405591591021,2,2,0.0790025302878709,"Sample 18_Plate21.csv","Control","R2",270,"Red and Orange",2018-02-05,82,2018-03-13,"270_2018-02-05",-1.10235899893156,1,1
"Sample 19","Plate21.csv",23.876,23.361,0.363452885529885,0.261629509039023,2,2,0.187835632091633,"Sample 19_Plate21.csv","N","R2",180,"Green",2018-02-05,82,2018-03-13,"180_2018-02-05",-0.726222019349413,1,1
"Sample 20","Plate21.csv",22.0195,21.4375,0.13505739520663,0.163341666454094,2,2,0.17931184159889,"Sample 20_Plate21.csv","N","R2",218,"Green and Orange",2018-02-05,82,2018-03-13,"218_2018-02-05",-0.7463910290589,1,1
"Sample 21","Plate21.csv",23.368,20.7455,0.186676190233248,0.0219203102167821,2,2,0.0435870287341616,"Sample 21_Plate21.csv","N","R2",246,"Orange",2018-02-05,82,2018-03-13,"246_2018-02-05",-1.36064273521125,1,1
"Sample 3","Plate21.csv",22.643,21.117,0.364867099092257,0.159806132548159,2,2,0.0932044515048065,"Sample 3_Plate21.csv","Control","R1",129,"Green and Orange",2018-02-05,82,2018-03-13,"129_2018-02-05",-1.0305633449657,1,1
