"Treatment","DaysF","emmean","SE","df","lower.CL","upper.CL",".group"
"Control","0",-0.678879799428537,0.0872070746208861,9.07722880992958,-0.875900353355974,-0.4818592455011,"      6"
"N","0",-0.701351910238005,0.08667913258948,8.87564616928862,-0.89785330784932,-0.504850512626691,"      6"
"NP","0",-0.77558400993889,0.087288382956127,9.09748495590211,-0.972721982287944,-0.578446037589837,"     56"
"Control","75",-0.794612787356342,0.0872425234565262,9.08902044438539,-0.991674827024446,-0.597550747688238,"     56"
"N","75",-0.862289883043011,0.0876206197444167,9.24822525835094,-1.05969348561076,-0.664886280475258,"    456"
"NP","75",-0.978823862472584,0.0870447201801106,9.02483562818073,-1.17565012929711,-0.781997595648061,"   345 "
"Control","100",-0.957616271336303,0.0894229525279953,10.0388971784529,-1.15675843079417,-0.758474111878437,"   345 "
"N","100",-1.08399454797801,0.109078615715182,21.5917520219415,-1.3104579968629,-0.857531099093132,"  2345 "
"NP","100",-1.3321481644398,0.104881051315236,18.5915421680267,-1.55199360789169,-1.11230272098791," 12    "
"Control","103",NA,NA,NA,NA,NA,""
"N","103",-1.60414212727155,0.219871327838649,190.781903230366,-2.03783312511394,-1.17045112942916," 123   "
"NP","103",-1.43676490899743,0.184994305231099,129.673819233183,-1.80276266637152,-1.07076715162333," 1234  "
"Control","111",-1.38504349953153,0.0904160670768161,10.4891211657887,-1.58523689649734,-1.18485010256572," 12    "
"N","111",NA,NA,NA,NA,NA,""
"NP","111",-1.76944642209126,0.150499333750767,70.018070165131,-2.06960651670811,-1.4692863274744," 1     "
