Spp,Genotype,Fragment,Treatment,Rep,Date,Chl_a,Sym.cm2,Sample,Days,Chl.Sym,TotalSH,logSH,D.Prp,Community
O.fav,O.fav_6,O.fav_6-6,A,R1,2018-02-05,4.67,1.99,Of_6-6_T14,82,2.34673366834171,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-14,A,R1,2018-02-05,3.99,1.48,Of_20-14_T14,82,2.69594594594595,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-34,A,R1,2018-02-05,3.28,1.95,Of_31-34_T14,82,1.68205128205128,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-36,A,R1,2018-02-05,3.26,1.58,Of_34-36_T14,82,2.06329113924051,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-81,N,R1,2018-02-05,9.14,2.96,Of_6-81_T14,82,3.08783783783784,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-28,N,R1,2018-02-05,5.62,1.39,Of_20-28_T14,82,4.0431654676259,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-30,N,R1,2018-02-05,3.66,1.21,Of_31-30_T14,82,3.02479338842975,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-38,N,R1,2018-02-05,4.69,2.9,Of_34-38_T14,82,1.61724137931035,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-86,N+P,R1,2018-02-05,6.97,2.34,Of_6-86_T14,82,2.97863247863248,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-40,N+P,R1,2018-02-05,7.14,1.65,Of_20-40_T14,82,4.32727272727273,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-40,N+P,R1,2018-02-05,5.35,1.96,Of_31-40_T14,82,2.72959183673469,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-4,N+P,R1,2018-02-05,4.64,1.66,Of_34-4_T14,82,2.79518072289157,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-40,A,R2,2018-02-05,4.3,1.77,Of_6-40_T14,82,2.42937853107345,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-21,A,R2,2018-02-05,5.53,1.32,Of_20-21_T14,82,4.18939393939394,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-24,A,R2,2018-02-05,3.03,1.39,Of_31-24_T14,82,2.17985611510791,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-11,A,R2,2018-02-05,2.47,0.99,Of_34-11_T14,82,2.4949494949495,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-118,N,R2,2018-02-05,5.52,2.56,Of_6-118_T14,82,2.15625,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-45,N,R2,2018-02-05,6.62,1.28,Of_20-45_T14,82,5.171875,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-8,N,R2,2018-02-05,5.84,1.7,Of_31-8_T14,82,3.43529411764706,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-10,N,R2,2018-02-05,4.45,1.72,Of_34-10_T14,82,2.58720930232558,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-82,N+P,R2,2018-02-05,7.59,3.1,Of_6-82_T14,82,2.44838709677419,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-43,N+P,R2,2018-02-05,8.26,2.15,Of_20-43_T14,82,3.84186046511628,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-2,N+P,R2,2018-02-05,3.71,1.74,Of_31-2_T14,82,2.13218390804598,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-7,N+P,R2,2018-02-05,3.55,1.45,Of_34-7_T14,82,2.44827586206897,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-112,A,R1,2018-03-08,2.82,0.9,Of_6-112_T22,113,3.13333333333333,0.027766316684369,-1.55648172737069,1,D
O.fav,O.fav_20,O.fav_20-19,A,R1,2018-03-08,3.35,0.79,Of_20-19_T22,113,4.24050632911392,0.460705411515465,-0.33657668642867,1,D
O.fav,O.fav_34,O.fav_34-20,A,R1,2018-03-08,1.77,0.71,Of_34-20_T22,113,2.49295774647887,0.119233074467191,-0.923603257463558,0.993975799040492,D
O.fav,O.fav_6,O.fav_6-96,N,R1,2018-03-08,2.12,0.8,Of_6-96_T22,113,2.65,0.049860072810482,-1.30224709163314,1,D
O.fav,O.fav_20,O.fav_20-2,N,R1,2018-03-08,1.77,0.64,Of_20-2_T22,113,2.765625,0.174349405652576,-0.758579528771208,1,D
