"Initial_Sym","emmean","SE","df","lower.CL","upper.CL",".group"
"D",0.504666666666666,0.00388202720425548,70,0.496924207541594,0.512409125791739," 1 "
"B",0.538222222222222,0.00672386835413507,70,0.524811889642071,0.551632554802373,"  2"
