"Initial_Sym","emmean","SE","df","lower.CL","upper.CL",".group"
"D",0.429680555555501,0.0156647521683364,1.02497597509267,0.241744228137858,0.617616882973144," 1  "
"C1",0.465657017873508,0.015774654126155,1.05403862562588,0.287945555514644,0.643368480232372,"  2 "
"C3",0.487002626204214,0.0157622603243907,1.05073267408904,0.308190525134779,0.66581472727365,"   3"
